"de","en"
"Kontodaten__Name","Account data__Name"
"Kontodaten__E-Mail-Adresse","Account data__E-mail address"
"Kontodaten__Geburtsdatum","Account data__Date"
"Kontodaten__Geschlecht","Account data__Gender"
"Kontodaten__Land","Account data__Country"
"Kontodaten__Interessen","Account data__Interest"
"Kontodaten__Sprache","Account data__Languages"
"Inhalte__Pins","Contents__Pins"
"Inhalte__Fotos","Contents__Photos"
"Inhalte__Inhalte","Contents__Contents"
"Inhalte__Kommentare","Contents__Comments"
"Inhalte__Nachrichten","Contents__News"
"Inhalte__Interaktionen","Contents__Interactions"
"Genaue Standortdaten__Genaue Standortdaten","Precise location data__Precise location data"
"Kommunikation mit uns__Kommunikation mit uns","Communication with us__Communication with us"
"Kontakte__Kontakte","Contact__Contact"
"Gerätedaten__Art des Geräts","Device data__Type of device"
"Gerätedaten__Betriebssystem","Device data__Operating system"
"Gerätedaten__Netzwerkdienstanbieter","Device data__Network service providers"
"Gerätedaten__Einstellungen","Device data__Settings"
"Gerätedaten__eindeutige Gerätekennung","Device data__unique device identifier"
"Protokolldaten__IP-Adresse","Protocol data__IP address"
"Protokolldaten__Aktivitäten auf Webseiten, die du besuchst","Protocol data__Activities on websites you visit"
"Protokolldaten__Browsertyp","Protocol data__Browser type"
"Protokolldaten__Browsereinstellungen","Protocol data__Browser settings"
"Protokolldaten__Datum und Uhrzeit deines Zugriffs","Protocol data__Date and time of your access"
"Daten von Cookies und ähnlichen Technologien__Spracheinstellungen","Data of cookies and similar technologies__Language settings"
"Daten von Cookies und ähnlichen Technologien__andere Einstellungen","Data of cookies and similar technologies__other settings"
"Nutzungsdaten und Rückschlüsse__Ausbildung","Use data and conclusions__Education"
"Nutzungsdaten und Rückschlüsse__Berufserfahrung","Use data and conclusions__Professional experience"
"Nutzungsdaten und Rückschlüsse__Vorlieben","Use data and conclusions__Preferences"
"Standortdaten__Standortdaten","Location data__Location data"
"Drittanbieterplattformen__Protokolldaten","Third-party platforms__Protocol data"
"Drittanbieterplattformen__Nutzungsdaten","Third-party platforms__Use data"
"Technische Servicepartner__Technische Servicepartner","Technical service partners__Technical service partners"
"Werbetreibende oder andere Partner__Besuchen auf der Webseite eines Werbetreibenden","Advertisers or other partners__Visit the website of an advertiser"
"Werbetreibende oder andere Partner__Käufe","Advertisers or other partners__Purchases"
"Werbetreibende oder andere Partner__Daten zu deinen Interessen","Advertisers or other partners__Data about your interests"
"Werbetreibende oder andere Partner__Pinterest-Tag Daten","Advertisers or other partners__Pinterest tag data"
