"table","column"
"Pins","Pins"
"User sessions","User sessions"
"Boards","Boards"
"Shuffles Conversations","Shuffles Conversations"
"Notes","Notes"
"Comments","Comments"
"Shopify store information","Shopify store information"
"Tried-Its","Tried-Its"
"Search history","Search history"
"Followees","Followees"
"Followers","Followers"
"Shuffles created by the user","Shuffles created by the user"
"Shuffles user data","Shuffles user data"
"Contact Form","Contact Form"
"Boards followed","Boards followed"
"Social network data","Social network data"
"User events","User events"
"Shuffles comments created by the user","Shuffles comments created by the user"
"Reported pins","Reported pins"
"User profile information","Location"
"Other user information","Username changes"
"User profile information","Privacy settings"
"Other user information","Email changes"
"Homefeed data","Recommended boards"
"User profile information","Username"
"Other user information","Password changes"
"Ads blocking","Blocked ads"
"Subject Access Request Data","Table of Contents"
"Homefeed data","Pins blocked on homefeed"
"Other user information","Known login locations"
"Contacts and blocked users","Phone contacts"
"User profile information","Inferences made about your interests"
"Other user information","Consumers"
"Other user information","User statistics"
"Ads blocking","Blocked advertisers"
"User profile information","First name"
"Homefeed data","Recommended queries"
"Contacts and blocked users","Blocked users"
"Other user information","Known devices"
"User profile information","Website"
"Other user information","Signup information"
"User profile information","Last name"
"Other user information","Login history"
"Homefeed data","Homefeed Picked-For-You blocked pins"
"User profile information","Email notification settings"
"User profile information","Email verified"
"User profile information","Country"
"Other user information","Notifications last seen"
"User profile information","User metadata"
"User profile information","Domains"
"User profile information","Account active"
"Other user information","Board collaboration invitations"
"User profile information","About"
"User profile information","Pinterest orientation completed"
"User profile information","Account creation time"
"Contacts and blocked users","Email contact suggestions"
"User profile information","Last password request"
"Contacts and blocked users","Email contacts"
"User profile information","Domain verified"
"User profile information","Birthday"
"User profile information","Gender"
"User profile information","Last login"
"User profile information","Email"
