"de","en"
"Anmelde- und Kontaktdaten__Name","Registration and contact data__Name"
"Anmelde- und Kontaktdaten__Postanschrift","Registration and contact data__Postal address"
"Anmelde- und Kontaktdaten__E-Mail-Adresse","Registration and contact data__E-mail address"
"Anmelde- und Kontaktdaten__Einkommen","Registration and contact data__Income"
"Anmelde- und Kontaktdaten__Telefonnummer","Registration and contact data__Number"
"Anmelde- und Kontaktdaten__Steuernummer","Registration and contact data__Tax number"
"Anmelde- und Kontaktdaten__Zahlungsinformationen","Registration and contact data__Payment information"
"Anmelde- und Kontaktdaten__Informationen über Ihren Beruf","Registration and contact data__Information about your profession"
"Anmelde- und Kontaktdaten__Beschäftigungsverhältnis","Registration and contact data__Employment"
"Anmelde- und Kontaktdaten__Geschäft","Registration and contact data__Business"
"Identifizierungs- und Unterschriftsdaten__Identifizierungs- und Unterschriftsdaten","Identification and signature data__Identification and signature data"
"Zahlungsinformationen__gesendeter oder angeforderter Betrag","Payment information__sent or requested amount"
"Zahlungsinformationen__Zahlungsinstrument","Payment information__Amount"
"Zahlungsinformationen__verwendete Karte oder Zahlungsquelle","Payment information__used card or source of payment"
"Zahlungsinformationen__Bezeichnung des Ausstellers","Payment information__Exhibitor name"
"Zahlungsinformationen__Kartentyp","Payment information__Card type"
"Zahlungsinformationen__Ländercode","Payment information__Country code"
"Zahlungsinformationen__Kontonummer des Zahlungskontos","Payment information__Account number of the payment account"
"Zahlungsinformationen__CVV","Payment information__CVV"
"Zahlungsinformationen__Benutzername","Payment information__Username"
"Zahlungsinformationen__IBAN-Informationen","Payment information__IBAN information"
"Informationen zu Ihren importierten Kontakten__Informationen zu Ihren importierten Kontakten","Information about your imported contacts__Information about your imported contacts"
"Kontoprofil__Benutzername","Account profile__Username"
"Kontoprofil__E-Mail-Adresse","Account profile__E-mail address"
"Kontoprofil__Mobiltelefonnummer","Account profile__Mobile phone number"
"Kontoprofil__Profilbild","Account profile__Profile"
"Kontoprofil__bevorzugte Sprache","Account profile__preferred language"
"Kontoprofil__Beschreibung Ihrer Person","Account profile__Description of your person"
"Informationen, die Sie angeben, wenn Sie uns kontaktieren__Informationen, die Sie angeben, wenn Sie uns kontaktieren","Information you provide if you contact us__Information you provide if you contact us"
"Gerätedaten__Gerätetyp","Device data__Device type"
"Gerätedaten__Netzwerkverbindungen","Device data__Network connections"
"Gerätedaten__Name","Device data__Name"
"Gerätedaten__IP-Adresse","Device data__IP address"
"Gerätedaten__Informationen zum Webbrowser","Device data__Information about the web browser"
"Gerätedaten__Informationen zur Internetverbindung","Device data__Information about the Internet connection"
"Gerätedaten__Geolokalisierungsdaten","Device data__Geologicization data"
"Gerätedaten__Informationen zu Apps, die auf Ihr Gerät heruntergeladen wurden","Device data__Information about apps downloaded to your device"
"Gerätedaten__biometrische Daten","Device data__biometric data"
"Abgeleitete Daten__Verhaltensmuster","Derived data__Behavior patterns"
"Abgeleitete Daten__persönliche Vorlieben","Derived data__personal preferences"
"Abgeleitete Daten__Browsing- und Kaufgewohnheiten","Derived data__Browsing and shopping habits"
"Abgeleitete Daten__Kreditwürdigkeit","Derived data__Creditworthiness"
"Daten aus den von Ihnen verknüpften Drittkonten__Daten aus den von Ihnen verknüpften Drittkonten","Data from the third-party accounts you link__Data from the third-party accounts you link"
"Informationen von Auskunfteien__ausstehende und historische Schulden","Information from information__outstanding and historical debt"
"Informationen von Auskunfteien__Rückzahlungshistorie","Information from information__Repayment history"
"Informationen von Auskunfteien__frühere Kreditgenehmigungen","Information from information__previous credit permits"
"Informationen von Auskunfteien__Arbeitsverhältnisse","Information from information__Working conditions"
